Team,ELO,Blended,Blended_EloScale
Brown,1152.2,-0.8982793915644763,1141.4976562032523
Pepperdine,1149.77,-0.906645867118534,1139.6453344748938
Central Michigan,1142.5,-0.9069403309524009,1139.5801407437746
Houston Christian,1121.83,-0.9286348121783127,1134.7770239832494
Manhattan,1120.71,-0.9324909655200999,1133.923278989109
Western Michigan,1125.14,-0.9419746048029091,1131.8236193422292
Stetson,1117.75,-0.9426822279233964,1131.6669529331664
Eastern Illinois,1109.88,-0.9450424881903635,1131.144395812329
Southern Utah,1129.83,-0.9505630656313754,1129.9221504975606
Jacksonville,1114.88,-0.9525636208617273,1129.4792313856815
North Carolina Central,1099.26,-0.9568709821090423,1128.5255898219502
The Citadel,1120.56,-0.9577435175755774,1128.3324121340477
Eastern Kentucky,1118.12,-0.9661444230701867,1126.4724676825274
Evansville,1146.79,-0.9663781952973376,1126.420710957364
New Haven,1096.22,-0.9673376840367519,1126.208281980712
Le Moyne,1086.47,-0.9761707731274346,1124.2526529054244
Little Rock,1105.67,-0.9842735961098215,1122.4587033535086
Incarnate Word,1104.13,-0.9895758069547795,1121.2848039865655
North Carolina A&T,1104.35,-1.0135544512098453,1115.975977888497
Lafayette,1100.7,-1.026121379511207,1113.1936839343784
Arkansas-Pine Bluff,1079.42,-1.0499160871107707,1107.9255810609734
Eastern Michigan,1093.56,-1.0754404600123064,1102.2745335891013
Lamar,1074.78,-1.090627682473951,1098.9121115061882
Southeastern Louisiana,1090.73,-1.1099202361356324,1094.6407769266327
Albany,1075.57,-1.1126438201175706,1094.037780628352
Bucknell,1076.15,-1.135382986512775,1089.0033725641147
Oral Roberts,1072.88,-1.146641577073173,1086.5107420901509
Stonehill,1057.54,-1.1499848999850413,1085.7705367749547
North Alabama,1077.45,-1.155643197188259,1084.5178005675386
Northern Illinois,1073.11,-1.1705857913876871,1081.2095387152444
Canisius,1061.74,-1.184996530847741,1078.019028487718
East Texas A&M,1050.0,-1.2006811781082074,1074.546477503199
Northeastern,1077.19,-1.2060105815370064,1073.3665577500642
Northern Arizona,1042.34,-1.2517906155179939,1063.2309455534994
Niagara,1055.59,-1.2556431501814265,1062.378001727844
Bryant,1046.42,-1.2624793027201113,1060.8644905959509
Holy Cross,1031.05,-1.2659259154536349,1060.1014171112688
Fairleigh Dickinson,1027.82,-1.2770467862518262,1057.6392775299532
Maine,1037.76,-1.3170317341850655,1048.7866863300546
Army,1015.36,-1.3199464921792152,1048.1413644701406
UTSA,1047.68,-1.3570855419994083,1039.9188496838321
